template_local,name,reaction sample,reagent,catalyst,solvent,_id,source
[C:1]-[O:2]>>[C:1],Ester exchange,[O:1]=[C:2](O)[c:13]1[cH:14][cH:15][n:16][n:17][c:18]1[OH:19].O=C([O:3][c:4]1[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]1)C(F)(F)F.c1ccncc1>>[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]1)[c:13]1[cH:14][cH:15][n:16][n:17][c:18]1[OH:19],[],[],['N1=CC=CC=C1'],3577,US03945995
[O:1].[C:2]-[I:3]>>[O:1]-[C:2],Substitution reaction with iodine,[CH3:1][CH2:2][CH2:3][CH2:4]I.CCN(CC)CC.[CH3:22][C@:21]12[CH2:20][CH2:19][C@@H:17]([OH:18])[CH2:16][C@@H:15]1[CH2:14][CH2:13][C@H:12]1[C@@H:11]3[CH2:10][CH2:9][C@H:8]([C:6](=[O:7])[OH:5])[C@@:27]3([CH3:28])[CH2:26][C:24](=[O:25])[C@H:23]21.CC(C)=O>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[C@H:8]1[CH2:9][CH2:10][C@H:11]2[C@@H:12]3[CH2:13][CH2:14][C@H:15]4[CH2:16][C@H:17]([OH:18])[CH2:19][CH2:20][C@:21]4([CH3:22])[C@H:23]3[C:24](=[O:25])[CH2:26][C@:27]12[CH3:28],['C(C)N(CC)CC'],[],['CC(=O)C'],3290,US03943124
[O:1].[Br:3]-[C:2]>>[O:1]-[C:2],Substitution reaction with bromine,CCN(CC)CC.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6]Br.[CH3:24][C@:23]12[CH2:22][CH2:21][C@@H:19]([OH:20])[CH2:18][C@@H:17]1[CH2:16][CH2:15][C@H:14]1[C@@H:13]3[CH2:12][CH2:11][C@H:10]([C:8](=[O:9])[OH:7])[C@@:29]3([CH3:30])[CH2:28][C:26](=[O:27])[C@H:25]21.CC(C)=O>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][O:7][C:8](=[O:9])[C@H:10]1[CH2:11][CH2:12][C@H:13]2[C@@H:14]3[CH2:15][CH2:16][C@H:17]4[CH2:18][C@H:19]([OH:20])[CH2:21][CH2:22][C@:23]4([CH3:24])[C@H:25]3[C:26](=[O:27])[CH2:28][C@:29]12[CH3:30],['C(C)N(CC)CC'],[],['CC(=O)C'],3292,US03943124
[N:1].[C:2]=[O:3]>>[N:1]-[C:2],Methylation 2,[CH2:1]=O.[O:11]=[C:10]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[N:9]1[CH2:8][CH:7]2[CH2:6][CH2:5][CH:4]1[CH2:3][NH:2]2.O=CO>>[CH3:1][N:2]1[CH2:3][CH:4]2[CH2:5][CH2:6][CH:7]1[CH2:8][N:9]2[C:10](=[O:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,['C=O'],[],[],3902,US03947445
[O:1].[C:2]=[C:3]>>[O:1]-[C:2]-[C:3],Addition to olefins,[CH2:1]=[C:2]([CH3:3])[CH3:4].[NH2:11][CH2:10][CH2:9][CH:8]([C:6](=[O:7])[OH:5])[C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.O=S(=O)(O)O.ClCCl>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]([CH2:9][CH2:10][NH2:11])[C:12](=[O:13])[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,['OS(=O)(=O)O'],[],['C(Cl)Cl'],31587,US04053588
[O:3]-[C:1]=[O:2]>>[C:1]-[O:2],Reduce to alcohol 2,Cl.[O:1]=[C:2](O)[c:3]1[cH:4][cH:5][c:6]([I:7])[cH:8][cH:9]1.[Al+3].[H-].[H-].[H-].[H-].[Li+].C1CCOC1>>[OH:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([I:7])[cH:8][cH:9]1,"['[H-].[Al+3].[Li+].[H-].[H-].[H-]', 'Cl']",[],"['O1CCCC1', 'O1CCCC1']",34487,US04064236
[N:1].[O:3]-[C:2]=[O:4]>>[N:1]-[C:2]=[O:3],Amidation 2,C(=NC1CCCCC1)=NC1CCCCC1.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH:6]([CH3:7])[CH:8]([CH3:9])[c:10]1[cH:11][c:12]([NH2:13])[c:25]2[c:26]([cH:27]1)[O:28][C:29]([CH3:30])([CH3:31])[c:32]1[cH:33][cH:34][n:35][cH:36][c:37]1-2.[ClH:38].O=[C:14]([OH:15])[CH2:16][CH2:17][CH2:18][N:19]1[CH2:20][CH2:21][CH2:22][CH2:23][CH2:24]1.ClCCl>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH:6]([CH3:7])[CH:8]([CH3:9])[c:10]1[cH:11][c:12]([NH:13][C:14](=[O:15])[CH2:16][CH2:17][CH2:18][N:19]2[CH2:20][CH2:21][CH2:22][CH2:23][CH2:24]2)[c:25]2[c:26]([cH:27]1)[O:28][C:29]([CH3:30])([CH3:31])[c:32]1[cH:33][cH:34][n:35][cH:36][c:37]1-2.[ClH:38],['C1(CCCCC1)N=C=NC1CCCCC1'],[],['C(Cl)Cl'],45555,US04111942
[C:1]-[O:3].[C:4]-[N:2]>>[C:1]-[N:2],Amidation 3,[CH3:1][CH:2]([CH3:3])[CH2:4][C@H:5]([NH:6]C(=O)OC(C)(C)C)[C:39](=[O:40])[NH:41][C@@H:42]([CH3:43])[C:44](=[O:45])[NH:46][CH2:47][C:48](=[O:49])[NH:50][C@@H:51]([CH2:52][CH2:53][C:54]([NH2:55])=[O:56])[C:57](=[O:58])[NH:59][C@H:60]([CH2:61][CH2:62][CH2:63][NH:64][C:65](=[NH:66])[NH:67][N+:68](=[O:69])[O-:70])[C:71](=[O:72])[O:73][CH2:74][c:75]1[cH:76][cH:77][cH:78][cH:79][cH:80]1.[NH2:17][C:16](=[O:18])[CH2:15][CH2:14][C@H:13]([NH:19][C:20](=[O:21])[C@@H:22]1[CH2:23][CH2:24][CH2:25][N:26]1[c:27]1[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][c:35]1[N+:36](=[O:37])[O-:38])[C:11](=[O:12])[NH:10][CH2:9][C:7](=[O:8])O>>[CH3:1][CH:2]([CH3:3])[CH2:4][C@H:5]([NH:6][C:7](=[O:8])[CH2:9][NH:10][C:11](=[O:12])[C@H:13]([CH2:14][CH2:15][C:16]([NH2:17])=[O:18])[NH:19][C:20](=[O:21])[C@@H:22]1[CH2:23][CH2:24][CH2:25][N:26]1[c:27]1[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][c:35]1[N+:36](=[O:37])[O-:38])[C:39](=[O:40])[NH:41][C@@H:42]([CH3:43])[C:44](=[O:45])[NH:46][CH2:47][C:48](=[O:49])[NH:50][C@@H:51]([CH2:52][CH2:53][C:54]([NH2:55])=[O:56])[C:57](=[O:58])[NH:59][C@H:60]([CH2:61][CH2:62][CH2:63][NH:64][C:65](=[NH:66])[NH:67][N+:68](=[O:69])[O-:70])[C:71](=[O:72])[O:73][CH2:74][c:75]1[cH:76][cH:77][cH:78][cH:79][cH:80]1,[],[],[],51818,US04138394
[C:1]-[O:3].[O:4]-[N:2]=[O:5]>>[C:1]-[N:2],Reduce the adjacent nitro group and form a ring,[CH3:1][CH2:2][CH2:3][N:4]([CH2:5][CH2:6][CH3:7])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]([N+:19](=O)[O-])[c:15]1[CH2:16][C:17](=[O:18])O.[ClH:20].CCO.[Pd]>>[CH3:1][CH2:2][CH2:3][N:4]([CH2:5][CH2:6][CH3:7])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[c:15]1[CH2:16][C:17](=[O:18])[NH:19]2.[ClH:20],[],['[Pd]'],['C(C)O'],119792,US04452808
[C:1]-[O:3].[C:4]-[N:2](-[C:5])-[C:6]>>[C:1]-[N:2],Amidation 4,C[N:1](C)C=O.[O:3]=[C:2](O)[c:4]1[cH:5][cH:6][c:7]([NH:8][c:9]2[cH:10][cH:11][n:12][cH:13][cH:14]2)[cH:15][cH:16]1.O=S(Cl)Cl>>[NH2:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([NH:8][c:9]2[cH:10][cH:11][n:12][cH:13][cH:14]2)[cH:15][cH:16]1,"['S(=O)(Cl)Cl', 'CN(C=O)C']",[],[],150018,US04610991
[O:6]-[C:1]=[O:7].[N:2]-[C:3]=[N:4]-[O:5]>>[c:1]1:[n:2]:[c:3]:[n:4]:[o:5]:1,Ring formation 1,[CH3:1][CH:2]([C:16](=O)O)[c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]([F:14])[cH:15]1.[NH2:17][C:18]([CH2:19][CH2:20][O:21][CH:22]1[CH2:23][CH2:24][CH2:25][CH2:26][O:27]1)=[N:28][OH:29]>>[CH3:1][CH:2]([c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]([F:14])[cH:15]1)[c:16]1[n:17][c:18]([CH2:19][CH2:20][O:21][CH:22]2[CH2:23][CH2:24][CH2:25][CH2:26][O:27]2)[n:28][o:29]1,[],[],[],151286,US04618617
[O:6]-[C:3]=[O:7].[N:2]-[C:1]=[N:5]-[O:4]>>[c:1]1:[n:2]:[c:3]:[o:4]:[n:5]:1,Ring formation 2,[CH3:1][CH2:2][C:3]([NH2:19])=[N:4][OH:5].O=[C:6](O)[CH2:7][N:8]1[C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[C:17]1=[O:18].O=C(n1ccnc1)n1ccnc1.C1CCOC1>>[CH3:1][CH2:2][c:3]1[n:4][o:5][c:6]([CH2:7][N:8]2[C:9](=[O:10])[c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[C:17]2=[O:18])[n:19]1,['C(=O)(N1C=NC=C1)N1C=NC=C1'],[],"['C1CCOC1', 'C1CCOC1', 'C1CCOC1']",201167,US04877792
[N:2].[C:3]-[O:4].[C:5]-[N:1]>>[N:1].[N:2]-[C:3],Amidation 5,CC(C)(C)OC(=O)[NH:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][n:9]1)[C:10](=[O:11])O.[NH2:12][C@@H:13]([CH2:14][CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1)[C@@H:21]([OH:22])[C@@H:23]([OH:24])[CH:25]1[CH2:26][CH2:27]1>>[NH2:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][n:9]1)[C:10](=[O:11])[NH:12][C@@H:13]([CH2:14][CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1)[C@@H:21]([OH:22])[C@@H:23]([OH:24])[CH:25]1[CH2:26][CH2:27]1,[],[],[],309971,US05393875
[O:1].[C:4]-[C:2]-[O:5].[P:6]-[N:3]=[N:7]>>[O:1]-[C:2]-[N:3]-[C:4],Schmidt Rearrangement,[CH3:18][C:17]([CH3:19])([CH3:20])[OH:16].CCN(CC)CC.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][CH2:7][c:8]1[cH:9][c:10]([CH2:11][CH2:12][C:14](=[O:15])O)[cH:21][c:22]([CH2:23][c:24]2[cH:25][cH:26][cH:27][n:28][cH:29]2)[cH:30]1.[N-]=[N+]=[N:13]P(=O)(c1ccccc1)c1ccccc1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][CH2:7][c:8]1[cH:9][c:10]([CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][c:22]([CH2:23][c:24]2[cH:25][cH:26][cH:27][n:28][cH:29]2)[cH:30]1,['C1(=CC=CC=C1)P(=O)(C1=CC=CC=C1)N=[N+]=[N-]'],[],[],321929,US05457118
[N:2].[C:4]-[N:1].[C:3]-[O:5]>>[N:1].[N:2]-[C:3],Remove protective group and Amidation 1,CC(C)(C)OC(=O)[N:19]1[CH2:18][c:17]2[cH:16][cH:15][cH:14][cH:13][c:12]2[CH2:11][C@H:10]1[C:8](=[O:9])O.[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([NH2:7])[c:20]1[CH3:21].O=C(O)C(F)(F)F.ClCCl>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([NH:7][C:8](=[O:9])[C@@H:10]2[CH2:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[CH2:18][NH:19]2)[c:20]1[CH3:21],['C(=O)(C(F)(F)F)O'],[],['C(Cl)Cl'],453017,US05977134
[N:3].[C:5]-[N:1].[C:4]-[O:6].[C:2]-[O:7]>>[N:1]-[C:2].[N:3]-[C:4],Remove protective group and Amidation 2,[CH3:1][O:2][N:3]=[C:4]1[CH2:5][C@@H:6]([C:7](=[O:8])O)[N:19](C(=O)OC(C)(C)C)[CH2:35]1.[CH3:32][c:31]1[cH:30][cH:29][cH:28][cH:27][c:26]1-[c:25]1[cH:24][cH:23][c:22]([C:20](=[O:21])O)[cH:34][cH:33]1.[NH2:9][CH2:10][CH:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][O:2][N:3]=[C:4]1[CH2:5][C@@H:6]([C:7](=[O:8])[NH:9][CH2:10][CH:11]([OH:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[N:19]([C:20](=[O:21])[c:22]2[cH:23][cH:24][c:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]3[CH3:32])[cH:33][cH:34]2)[CH2:35]1,[],[],[],716786,US20030171309A1
[C:3]-[N:1].[C:2]-[O:4]>>[N:1]-[C:2],Remove protective group and Amidation 3,CC(C)(C)OC(=O)[N:19]1[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]1.CCN=C=NCCCN(C)C.[O:1]=[C:2](O)[CH2:3][CH2:4][S:5](=[O:6])(=[O:7])[c:8]1[cH:9][cH:10][c:11]2[cH:12][c:13]([Cl:14])[cH:15][cH:16][c:17]2[cH:18]1.O=C([O-])[O-].On1nnc2ccccc12.[K+].[K+].CCN(CC)CC.ClCCl>>[O:1]=[C:2]([CH2:3][CH2:4][S:5](=[O:6])(=[O:7])[c:8]1[cH:9][cH:10][c:11]2[cH:12][c:13]([Cl:14])[cH:15][cH:16][c:17]2[cH:18]1)[N:19]1[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]1,"['C=1C=CC2=C(C1)N=NN2O', 'CCN=C=NCCCN(C)C', 'C([O-])([O-])=O.[K+].[K+]']",[],"['ClCCl', 'C(C)N(CC)CC']",1185833,US20070010528A1
[N:2].[C:3]-[O:4].[C:5]-[O:1]>>[O:1].[N:2]-[C:3],Amidation 6,[CH3:33][C:32]([CH3:34])([CH3:35])[C@H:14]([NH2:13])[C:15](=[O:16])[N:17]1[CH2:18][CH2:19][CH:20]([NH:21][C:22](=[O:23])[c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:30][CH2:31]1.[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([CH2:6][N:7]([CH:9]=[O:10])[O:8]Cc1ccccc1)[C:11](=[O:12])O.Cl>>[CH3:1][CH2:2][CH2:3][CH2:4][C@H:5]([CH2:6][N:7]([OH:8])[CH:9]=[O:10])[C:11](=[O:12])[NH:13][C@H:14]([C:15](=[O:16])[N:17]1[CH2:18][CH2:19][CH:20]([NH:21][C:22](=[O:23])[c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:30][CH2:31]1)[C:32]([CH3:33])([CH3:34])[CH3:35],[],[],[],1469941,US20080234333A1
[O:6]-[C:3]=[O:7].[O:2]-[N:1]-[C:5]=[N:4]>>[n:1]1:[o:2]:[c:3]:[n:4]:[c:5]:1,Ring formation 3,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]([CH2:8][C:9](=O)O)[CH2:25][C:26]([F:27])([F:28])[F:29])[cH:30][c:31]1[C:32]([F:33])([F:34])[F:35].[NH:10]=[C:11]([CH2:12][S:13](=[O:14])(=[O:15])[c:16]1[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]1)[NH:23][OH:24]>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]([CH2:8][c:9]2[n:10][c:11]([CH2:12][S:13](=[O:14])(=[O:15])[c:16]3[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]3)[n:23][o:24]2)[CH2:25][C:26]([F:27])([F:28])[F:29])[cH:30][c:31]1[C:32]([F:33])([F:34])[F:35],[],[],[],1636368,US20090170907A1
[N:3].[C:4]-[O:5].[O:1]-[C:6]-[O:2]>>[O:1].[O:2].[N:3]-[C:4],Amidation 7,[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH:6]1[NH:7][CH:8]([C:9](=[O:10])O)[CH:18]([c:19]2[cH:20][cH:21][cH:22][c:23]([Cl:24])[cH:25]2)[C:26]1([C:27]#[N:28])[c:29]1[cH:30][cH:31][c:32]([Cl:33])[cH:34][cH:35]1.CC1(C)[O:17][CH2:16][C@H:14]([CH2:13][CH2:12][NH2:11])[O:15]1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc12)=[N+](C)C.F[P-](F)(F)(F)(F)F.ClCCl>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH:6]1[NH:7][CH:8]([C:9](=[O:10])[NH:11][CH2:12][CH2:13][C@H:14]([OH:15])[CH2:16][OH:17])[CH:18]([c:19]2[cH:20][cH:21][cH:22][c:23]([Cl:24])[cH:25]2)[C:26]1([C:27]#[N:28])[c:29]1[cH:30][cH:31][c:32]([Cl:33])[cH:34][cH:35]1,"['CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F', 'CCN(C(C)C)C(C)C']",[],"['C(Cl)Cl', 'C(Cl)Cl']",1819152,US20100075948A1
[N:1].[C:2]-[O:5].[C:6]-[O:3]-[C:4]-[O:7]>>[N:1]-[C:2].[O:3]=[C:4],Amidation 8,[CH3:1][C:2]1([c:4]2[cH:5][cH:6][c:7]([CH2:8][n:9]3[n:10][cH:11][c:12]([NH2:13])[n:27]3)[o:28]2)[O:3]CCO1.[O:15]=[C:14](O)[c:16]1[n:17][cH:18][o:19][c:20]1-[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([CH2:8][n:9]2[n:10][cH:11][c:12]([NH:13][C:14](=[O:15])[c:16]3[n:17][cH:18][o:19][c:20]3-[c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3)[n:27]2)[o:28]1,[],[],[],2033985,US20100331378A1
